TransientID,CatalinaID,MagAvg,RaAvg,DecAvg
1208280210014111715,1021001010444,17.415,0.04331,-21.92086
1009101320014148188,1132001069055,19.742,0.10307000000000001,33.42835
1011271040014129121,1104001042684,19.813,0.37714000000000003,5.10631
1011271040014129121,2104001014968,18.058,0.37694,5.10679
1607091210014124380,1121001032550,18.444000000000003,0.38483,21.226770000000002
1110061260014124074,1126001035357,18.62,1.33744,26.82108
1206191210014107066,1121001005907,21.599,1.3917899999999999,20.02357
1609221070014133607,2108002020064,20.968000000000004,1.4732100000000001,8.43018
1006021180014134943,1118001057162,20.985,1.7487,19.47162
1512020150014110836,1015001015876,20.115,1.8163099999999999,-16.10452
1410251320014115813,1132001023848,19.442,1.8311099999999998,31.878590000000003
1512031120014116775,1112001023730,21.469,1.9262700000000001,12.46893
1011111120014121468,1112001027513,20.332,2.00192,12.65415
1310250040014131234,1004001034329,19.12,2.0668599999999997,-3.60581
1310250040014131234,2003002017200,19.371,2.06702,-3.6058
1310250040014131234,3003002003323,20.433,2.06799,-3.60492
1410291210014109021,1121001011647,19.553,2.22777,20.28344
1210211070014111403,1107001017304,18.19,2.26635,6.47271
1210211070014111403,2105003025605,17.677,2.2661700000000002,6.47276
1309120150014104855,1015001004920,19.619,2.27838,-16.68958
1309120150014104855,3017002016907,20.535999999999998,2.2789200000000003,-16.68959
1511301290014130643,1129001047389,18.762999999999998,2.29548,30.052259999999997
1312251090014108455,2109003009450,13.245999999999999,2.3181700000000003,9.00876
1310120180014101233,3019002005376,14.735,2.32535,-19.70694
1310120180014101233,3019002005376,14.735,2.32535,-19.70694
1010070120014131116,1012001033373,19.754,2.40915,-12.17123
1010070120014131116,3013002017162,21.259,2.40957,-12.17185
911201400014137919,1140001049301,19.483,2.58039,41.082029999999996
1408311210014119351,1121001023006,18.883,2.61967,20.79727
1201181320014109239,1132001013244,20.45,2.7936099999999997,31.50863
909190070024118250,3007002011463,21.84,2.92125,-7.06297
909190070024118250,1007002026178,20.646,2.92124,-7.06313
1009171380014137774,1138001053098,19.768,3.02247,38.513729999999995
1210061380014126444,1138001033004,18.967,3.1389299999999998,37.83671
1012011210024127861,1121002034183,20.355999999999998,3.2947599999999997,21.35236
1011111320024146366,1132002061967,19.932000000000002,3.41549,33.35611
909181260024124094,1126002030899,17.512,3.90935,26.61572
1510081150024124861,1115002032543,20.968000000000004,4.04595,15.6159
1511181120024103505,1112002004706,19.848,4.10379,11.534130000000001
1511181120024103505,2111004016241,19.975,4.10393,11.5341
911191210024141794,1121002056974,18.680999999999997,4.10993,22.43729
1209141090024103854,1109002004640,20.666999999999998,4.12641,8.694989999999999
1210151090024103368,1109002004640,20.666999999999998,4.12641,8.694989999999999
810281350024129850,1135002041508,20.98,4.22426,35.31707
1509181070024115810,1107002019428,20.157,4.31346,6.60418
1509181070024115810,2107004002817,20.213,4.31381,6.60405
1111271120024141105,2113005018653,20.774,4.472919999999999,13.79517
1306271260024129130,1126002061319,18.077,4.53907,27.82146
711020090024109055,1009002013467,19.923,4.57365,-10.54005
1011071210024138139,1121002046259,21.465,4.61832,21.92163
1601021150024109668,1115002014466,20.199,4.64839,14.80004
1601021150024109668,2114005019215,20.34,4.64837,14.799929999999998
1607141040024107869,2103005002746,21.0,4.7390300000000005,3.3353300000000004
1011051320024147567,1132002070223,19.211,5.21745,33.65939
810090150024205441,1015002006949,21.155,5.46392,-16.5343
810090150024205441,3017003015911,21.212,5.46355,-16.5345
809060090024127492,1009002041345,18.851,5.47875,-8.98301
809060090024127492,3009003011227,20.046,5.47869,-8.98312
1006111070024108613,1107002009810,18.252,5.63495,6.13469
1006111070024108613,2105006018757,18.621,5.63518,6.13451
1111191120034144818,1112002052453,19.835,5.72611,13.872229999999998
1111191120034144818,1112003055385,19.77,5.7266900000000005,13.87169
1111191120034144818,2113006022136,20.11,5.72621,13.87224
1111191120034144818,1112002052453,19.835,5.72611,13.872229999999998
1111191120034144818,1112003055385,19.77,5.7266900000000005,13.87169
912111090034111048,2109006009754,20.809,5.90562,9.10595
912111090034111048,1109003013395,21.319000000000003,5.90532,9.105839999999999
811231070034125394,2107006025224,19.253,6.25076,7.56355
811231070034125394,1107003041516,18.55,6.25075,7.563619999999999
1211121150034142136,1115003048534,19.006,6.59875,16.508110000000002
