Class,ObsCount,amplitude,beyond1st,flux_percentile_ratio_mid20,flux_percentile_ratio_mid35,flux_percentile_ratio_mid50,flux_percentile_ratio_mid65,flux_percentile_ratio_mid80,kurtosis,max_slope,median_absolute_deviation,median_buffer_range_percentage,pair_slope_trend,pair_slope_trend_last_30,percent_amplitude,percent_difference_flux_percentile,poly1_t1,poly2_t1,poly2_t2,poly3_t1,poly3_t2,poly3_t3,poly4_t1,poly4_t2,poly4_t3,poly4_t4,skew,small_kurtosis,std,stetson_j,stetson_k
SN,15,2.6504499999999993,0.5333333333333333,0.0004819833958250963,0.0016277844333757395,0.0028887779496203163,0.004587884411982665,0.006499792986949,3.5372273748123435,1.7365137960684782,0.989805333333333,0.06666666666666667,0.4666666666666667,0.23333333333333334,11594.780877260853,3494.873758902027,0.0004027764287811883,0.0003717784378909298,8.033599140505443e-08,0.00026250826856809035,1.2529905841046292e-08,1.2445818204077178e-10,-0.0034171034270868423,5.280279214703718e-06,7.171567682864434e-09,-7.068384321437356e-12,-1.5977373805243231,-3.769230769230769,1.3377563473788419,1.000370421248238,0.4286430584356835
CV,309,2.5420000000000007,0.0970873786407767,0.020485708379135062,0.04355421541502236,0.07610482259373313,0.13483864006811888,0.2684355170216794,13.271177059337113,15.959258369854382,0.47971532975146997,0.13268608414239483,0.4886731391585761,0.4666666666666667,23527.812019381636,16.897750873344553,-6.370969879483413e-05,-6.445876362111675e-05,1.5630000747677628e-07,-0.0007480806979383189,1.2946588134602764e-07,4.4967435663819654e-10,-0.0007450754530750484,7.17229552884312e-08,4.470183020669166e-10,2.7164396929047106e-14,-3.491653033195411,-3.0294436993038256,0.8622882228670246,4.819700692879811,0.40610692867197534
CV,172,1.5449000000000002,0.3546511627906977,0.02651068542479014,0.04955991011962574,0.07396668349080479,0.11832741416978917,0.3303982206245415,1.2670218167759084,18.943654132631565,0.39542036235803085,0.09302325581395349,0.5,0.6333333333333333,63.306416170206745,15.062034840528742,-5.717406370774477e-05,-4.949675249069319e-05,-2.911919964117098e-08,-0.00028674174319626253,-9.08663472092953e-08,1.4922940574885614e-10,-0.00015081813409793346,-5.360529680881415e-07,1.2892006612381214e-11,2.166127849890277e-13,-0.9967969059700158,-3.053358858336234,0.5435921494836733,1.3300767399719884,0.567174771776943
SN,67,1.0412499999999998,0.31343283582089554,0.10426692741899073,0.20959104989545904,0.3374651183805989,0.4092603030916224,0.5828188496187177,-0.29366883375615327,4.5857312642587535,0.37864918690131427,0.07462686567164178,0.44776119402985076,0.4666666666666667,7.334892445315994,4.1068568116991635,9.229051116132575e-06,2.6753686104058864e-05,6.837281388792272e-08,-6.670352716160827e-05,1.1550063312705641e-07,7.202456125740252e-11,-0.00010481989209772784,-7.462294827074043e-10,1.2178269768708594e-10,6.266871691187272e-14,0.17564403787390329,-3.141346153846154,0.46568881091992204,0.28357167447186293,0.775431827792612
SN,56,1.2552499999999984,0.42857142857142855,0.054336910234366154,0.12083908165103545,0.24992528071717263,0.3517807308681109,0.5828515493684707,-0.9105770232733152,19.605005148218343,0.5615789540816328,0.03571428571428571,0.5,0.5333333333333333,26.753331284880073,14.599813695637549,-0.0003920545159234885,-0.00035433154933197877,1.231739702779219e-07,-0.0005763729584239707,2.3609974857276494e-07,1.9906634326260304e-10,-0.0007696520213105495,-2.3248571190906185e-07,4.2483109152905827e-10,2.807116854126879e-13,-0.26833300838575613,-3.1708595387840672,0.6706800810085897,1.0560491124747973,0.7014064023135197
Var/Nothing,76,1.9110999999999994,0.35526315789473684,0.08510277288126648,0.1891855564092356,0.26377864684100455,0.41520808001983806,0.6855790715996234,-0.27227635234384495,22.79405064458214,0.6743039473684215,0.02631578947368421,0.5,0.5666666666666667,67.83185724502462,14.153628117309326,0.00010269670353815992,0.00010346193207808887,-6.922351484191711e-09,8.634190091809171e-05,-8.912515376254243e-09,1.0190165017079973e-11,0.00028657500157886113,-9.102037057561983e-07,-1.572849672659994e-10,4.2078471369278596e-13,0.3165874667299099,-3.123843021103295,0.8267391677633492,0.2744725053565743,0.7512109130170899
Var,62,1.9300499999999996,0.4032258064516129,0.06800599891465267,0.15934510448638875,0.21144687498054152,0.31126471324815425,0.8661499705440132,-0.6677223065410938,10.533506483353197,0.7679059313215397,0.03225806451612903,0.5,0.4666666666666667,33.438930162644674,20.08091129812208,-0.00033576518587670755,-0.00033610246671335076,-3.0427139817846886e-09,5.699040406298517e-05,-2.640310309922217e-08,-2.395612417079595e-10,0.0001427923442136946,9.97032432557253e-07,-3.2443929552842084e-10,-4.717371780354377e-13,0.25777223162904495,-3.1533898305084747,0.9204993089005603,3.1996720343483793,0.7547546724663132
AGN,79,1.1515500000000003,0.35443037974683544,0.09286835725685796,0.20927733845226534,0.3623589158211464,0.5714193229640928,0.7365635434800692,-0.933934325497868,9.067148928463293,0.4888143246274635,0.10126582278481013,0.5063291139240507,0.5333333333333333,9.904355455436624,6.291857972563837,-0.00010343371378608899,-0.00016667187171988659,4.041230696867989e-07,-0.0005954183738395033,3.7561280813419107e-07,3.511768937076447e-10,-0.000616495293163614,1.3972529988760814e-06,3.861074288107827e-10,-5.517047910856276e-13,0.12195812963981997,-3.1189336978810664,0.5884308613160705,0.8235976384358702,0.7865228628364391
Blazar,254,2.592850000000001,0.38976377952755903,0.001015775507556971,0.001638450320459533,0.0028130577191427123,0.006281887990209999,0.12329435763137181,2.3014056436589163,5.683026321397247,0.7425627937255918,0.05905511811023622,0.4921259842519685,0.5,5669.854146177424,793.0857804166818,-0.0005630084891181191,-0.0004507906789742755,-6.463792387856904e-07,0.0006290406551870807,-5.433937942174108e-07,-6.664394039701263e-10,0.0004737838771688031,9.11061833821534e-07,-4.978073522959822e-10,-6.779472419277746e-13,-1.6161274097548504,-3.035904003035477,1.0739058863992919,5.834246044576475,0.48166032199911396
CV,178,2.1282499999999978,0.5,0.008419270954701935,0.016702776605519987,0.042808103365689854,0.1892294318433625,0.6430549654589344,-0.5536564191273312,10.041779930825127,0.8702357404368123,0.03932584269662921,0.47752808988764045,0.5,623.3744176287298,176.33326166056338,-0.00017776170574198432,-0.00017550038335234182,-1.2405715705649595e-08,0.0007267543389107967,8.921648253535161e-08,-5.591081632044562e-10,0.0005348689131489992,8.21877912008853e-07,-4.002769898142245e-10,-3.4215551651883425e-13,-0.6309004534362158,-3.051525974025974,1.0669110377747302,4.564330090911789,0.6204003950076555
CV,68,1.8436000000000003,0.3382352941176471,0.004959114066499015,0.008237379440668942,0.013384902967439037,0.018620854967979942,0.031517657943134804,4.159501738842489,20.764334946724343,0.5022549307958474,0.07352941176470588,0.4852941176470588,0.5,403.5209427084815,139.40361094216587,2.1867059269446185e-05,2.2226024206987557e-05,-2.8338545333229187e-08,-0.00010962864881109509,-3.165724498468469e-08,8.597730167786633e-11,-0.00014600146680552727,-1.1673620642930093e-06,9.984641444441298e-11,5.109955071126029e-13,-1.7340475879132886,-3.139160839160839,0.7434726522623306,1.5340797421932137,0.4350447308386356
Blazar,277,1.8262,0.2779783393501805,0.06084468565205691,0.11961671046638575,0.19414114980682023,0.2782976942982367,0.4841128242733737,0.9295814186150664,12.045232332400483,0.44608954632537867,0.05415162454873646,0.5126353790613718,0.5,22.610218159596663,9.373872176738839,-0.00026815433939826404,-0.0002704931414817935,2.03712235357226e-07,-0.0003584228078240208,2.032962584837731e-07,6.27843506954159e-11,-0.0002930505853418849,-1.0110933353052434e-06,1.3553303502722508e-11,5.965738187553471e-13,0.35633592908935857,-3.032886529528865,0.5809630656111909,3.0134849397100907,0.7530857491009655
CV?,46,1.2268000000000008,0.2608695652173913,0.11228464228184871,0.21617777367715424,0.276705830147703,0.40618765508680477,0.6377967919549906,1.0618879329652144,7.985960020529621,0.38367410207939495,0.08695652173913043,0.5217391304347826,0.6,37.516555979986315,4.675553143721793,-0.00013517669331955252,-7.493461819738822e-05,7.589331795997818e-08,-0.0001987932792630001,2.3481954524556012e-07,1.239064084551604e-10,0.00020983628999274206,4.2673211765510874e-07,-4.904774707758322e-10,-3.1787446787750206e-13,-0.6056564863358833,-3.210887949260042,0.4965948814964796,0.22536551513781966,0.6421929788317287
SN,22,1.9297500000000003,0.3181818181818182,0.12593465942012563,0.25654389863513516,0.47495393180181344,0.657052996352368,0.9622166776936213,2.0027619029403763,4.946087346921418,0.5911636363636362,0.0,0.5909090909090909,0.43333333333333335,199.22104761206435,4.825254801989207,-1.4692143005136706e-05,9.898050739077563e-05,7.704183625184015e-08,0.00023338038296338794,-5.47599008710339e-07,-3.1764808415462145e-10,0.003732319319254669,-3.530560298731494e-06,-6.752636111102036e-09,-1.9781906602639035e-12,-0.6526806953155913,-3.481578947368421,0.8094622082469858,0.053264145187566204,0.5079886742119029
AGN,282,1.4344000000000001,0.25177304964539005,0.162850627838956,0.2745610086258679,0.40527819022573996,0.5275594880741682,0.7541942677989268,0.99893963984016,11.99089108413526,0.36954606408128504,0.07092198581560284,0.48936170212765956,0.4666666666666667,10.694635526600774,2.192196604275712,-0.00028909048192620466,-0.0002788591367587553,4.4360247917533085e-08,-0.000735190053084267,1.7780279198575834e-07,3.4453061881679405e-10,-0.0006498832100754807,6.67431638618363e-07,2.2587187242492492e-10,-2.66843441118842e-13,0.8733019078620187,-3.0322964669738863,0.477807921216644,1.025203620994212,0.7968593360114145
SN,325,0.8216000000000001,0.23384615384615384,0.14068921201925227,0.2559751703376534,0.37073551971074836,0.4939603125034696,0.7436919627229811,3.1599119250587266,9.374288300146995,0.1438294949112428,0.2,0.5015384615384615,0.43333333333333335,3.891026321245926,0.8916735009132316,-2.8719953444262402e-05,-2.9917224468568118e-05,-2.233610258308379e-08,-2.5111408801728577e-05,-2.2716783644414306e-08,-3.6000944157755427e-12,-2.521260852250691e-05,-2.5175939690625267e-08,-3.458711181282379e-12,1.280717457185446e-15,0.664808882796318,-3.0279791550487474,0.19726265235384832,-0.10261014423260385,0.7504957844491206
AGN,182,1.7218499999999999,0.2692307692307692,0.08279318321712699,0.1633222761468016,0.2835990784271164,0.43790720207436223,0.6807623061358892,1.1768191902939713,10.870996149872978,0.3804756913416229,0.10989010989010989,0.521978021978022,0.5333333333333333,61.05808103130743,3.670593661218044,-0.00040542159950807,-0.0003785621918727147,5.381816566813476e-08,-0.0005206097143347388,2.795973431691038e-07,2.1926870030215893e-10,-1.0541406965886088e-05,8.743281028040252e-07,-7.978157035281552e-10,-7.394826638852113e-13,0.48545019689097474,-3.050372439478585,0.5104076290889965,0.4823954288215649,0.7671533058462054
CV,84,2.6866499999999993,0.5952380952380952,0.0004269888371506589,0.0007882480089618994,0.0019170592299673698,0.006080409821153673,0.015242419132439605,2.4955628682355604,7.807388299360831,0.9066130102040832,0.0,0.5595238095238095,0.5333333333333333,14729.027286486424,2263.140803339712,0.00022588395533041983,9.743909735527376e-05,5.754109870874088e-07,0.001092389598674056,7.503910968883626e-07,-6.85912138219323e-10,0.0011256317923959997,6.119077611374227e-07,-7.198109466747178e-10,7.165922896807583e-14,-1.6794404368086007,-3.11156278229449,1.2760769788106612,4.285673894311205,0.42893208568906727
SN,364,0.7381499999999992,0.27197802197802196,0.13355552055864103,0.211524966874714,0.35328557185179804,0.49692721676769847,0.7488426343106841,2.378854062869278,8.501984009330348,0.146165051020408,0.21153846153846154,0.47527472527472525,0.5333333333333333,2.5797266008313517,0.9003663034325704,-1.538818672664447e-05,-1.5115408668986948e-05,-2.358020238905395e-09,3.74374886074488e-05,1.9429807776211253e-09,-3.565220193081788e-11,4.024726934134144e-05,-3.114488323795112e-08,-3.8714122802857763e-11,1.611177363159073e-14,0.6249078949046166,-3.0249537044122374,0.19941765304339654,0.09123190023895261,0.75261600557568
CV,297,2.4109499999999997,0.37373737373737376,0.013737211187006009,0.027384356144464068,0.045757743541443206,0.0900554873863541,0.5017304029210244,3.7859677526099746,16.585290663350857,0.5897821356097459,0.07744107744107744,0.5084175084175084,0.5,2479.8471080889235,46.146007324379994,8.86613928540606e-05,9.521623525307057e-05,-7.741062938556704e-08,-0.00013784807324534814,-7.907643350483614e-08,1.5531023609017872e-10,-0.00013965242402029797,5.02487093784589e-08,1.5772878227075267e-10,-6.239499600232505e-14,-1.66328720351354,-3.0306468350051885,0.8393169018463209,2.844811054653249,0.437795258602698
CV,101,3.3027499999999987,0.8613861386138614,9.066347083060032e-06,1.9069967713226375e-05,5.319771791064934e-05,0.010915363734115007,0.22304758227345461,0.8068323124528587,12.044714585072287,1.3856477404176095,0.039603960396039604,0.5247524752475248,0.5333333333333333,180093.313444192,59909.09386113538,0.00046741742610592406,0.0004514388255867241,-1.4226635823686343e-07,-0.0010689840368193696,5.794201218255525e-07,1.0713695086574982e-09,-0.0005421457603286247,1.634803013018059e-06,4.893960079604388e-10,-5.890621418814104e-13,-1.4542526588071376,-3.0921459492888066,1.8496192469444424,9.759350263472756,0.4898153043435078
Flare?,128,1.6903499999999987,0.3046875,0.061052831339716396,0.09648510920855902,0.15998438620790476,0.237788396092892,0.43506593292248436,4.071569971786669,11.339835575224782,0.4128083007812501,0.078125,0.4453125,0.5,225.96031630402643,8.105682093413764,-0.00014385981710406129,-0.00014059441186410845,-3.0649217964011716e-08,-0.000281496793458719,-3.405305279478017e-08,9.714012741720385e-11,-0.00028267429388134066,-1.1875217753091268e-07,9.654501869952021e-11,4.248368432894546e-14,-1.4578906224802848,-3.0721904761904764,0.5921468241977492,0.639269015194125,0.43515173877169205
